step,swallow_frac
200,0.2587
400,0.2348
600,0.2371
800,0.2425
1000,0.2534
1200,0.2744
1400,0.2857
1600,0.3074
1800,0.3293
2000,0.3507
2200,0.3744
2400,0.3949
2600,0.4164
2800,0.4397
3000,0.4652
3200,0.4967
3400,0.5312
3600,0.5574
3800,0.5956
4000,0.6241
4200,0.6616
4400,0.7009
4600,0.7352
4800,0.7664
5000,0.7973
5200,0.8151
5400,0.8419
5600,0.8609
5800,0.8643
6000,0.8691
