op,world_size,bytes,time_ms,algbw_GBps,busbw_GBps
broadcast,4,4096,0.0286,0.14,0.14
broadcast,4,65536,0.0285,2.3,2.3
broadcast,4,1048576,0.0479,21.88,21.88
broadcast,4,16777216,0.72,23.3,23.3
broadcast,4,268435456,11.4347,23.48,23.48
broadcast,4,1073741824,45.6522,23.52,23.52
scatter,4,4096,0.0166,0.25,0.19
scatter,4,65536,0.0162,4.06,3.04
scatter,4,1048576,0.0249,42.17,31.63
scatter,4,16777216,0.2723,61.61,46.21
scatter,4,268435456,4.1397,64.84,48.63
scatter,4,1073741824,16.6655,64.43,48.32
gather,4,4096,0.0183,0.22,0.17
gather,4,65536,0.018,3.65,2.74
gather,4,1048576,0.0287,36.54,27.41
gather,4,16777216,0.3297,50.89,38.17
gather,4,268435456,4.5878,58.51,43.88
gather,4,1073741824,18.2581,58.81,44.11
all_gather,4,4096,0.0128,0.32,0.24
all_gather,4,65536,0.0122,5.39,4.05
all_gather,4,1048576,0.0563,18.64,13.98
all_gather,4,16777216,0.673,24.93,18.7
all_gather,4,268435456,10.5218,25.51,19.13
all_gather,4,1073741824,41.2839,26.01,19.51
reduce_scatter,4,4096,0.0153,0.27,0.2
reduce_scatter,4,65536,0.0136,4.82,3.62
reduce_scatter,4,1048576,0.0583,17.99,13.5
reduce_scatter,4,16777216,0.6781,24.74,18.56
reduce_scatter,4,268435456,10.5082,25.55,19.16
reduce_scatter,4,1073741824,41.6538,25.78,19.33
all_reduce,4,4096,0.0142,0.29,0.43
all_reduce,4,65536,0.0172,3.82,5.73
all_reduce,4,1048576,0.1004,10.45,15.67
all_reduce,4,16777216,1.3284,12.63,18.94
all_reduce,4,268435456,20.673,12.98,19.48
all_reduce,4,1073741824,81.9081,13.11,19.66
