op,world_size,bytes,time_ms,algbw_GBps,busbw_GBps
broadcast,2,4096,0.0104,0.4,0.4
broadcast,2,65536,0.0104,6.3,6.3
broadcast,2,1048576,0.0382,27.44,27.44
broadcast,2,16777216,0.4059,41.33,41.33
broadcast,2,268435456,6.2912,42.67,42.67
broadcast,2,1073741824,25.0531,42.86,42.86
scatter,2,4096,0.0156,0.26,0.13
scatter,2,65536,0.0154,4.25,2.13
scatter,2,1048576,0.0214,48.89,24.45
scatter,2,16777216,0.1977,84.88,42.44
scatter,2,268435456,2.9903,89.77,44.88
scatter,2,1073741824,12.0683,88.97,44.49
gather,2,4096,0.0174,0.24,0.12
gather,2,65536,0.0171,3.83,1.91
gather,2,1048576,0.0192,54.68,27.34
gather,2,16777216,0.194,86.5,43.25
gather,2,268435456,3.0756,87.28,43.64
gather,2,1073741824,12.2767,87.46,43.73
all_gather,2,4096,0.0103,0.4,0.2
all_gather,2,65536,0.0099,6.59,3.29
all_gather,2,1048576,0.0411,25.52,12.76
all_gather,2,16777216,0.4441,37.78,18.89
all_gather,2,268435456,6.8075,39.43,19.72
all_gather,2,1073741824,26.2607,40.89,20.44
reduce_scatter,2,4096,0.0115,0.36,0.18
reduce_scatter,2,65536,0.0113,5.8,2.9
reduce_scatter,2,1048576,0.0422,24.82,12.41
reduce_scatter,2,16777216,0.4503,37.25,18.63
reduce_scatter,2,268435456,6.716,39.97,19.98
reduce_scatter,2,1073741824,25.6015,41.94,20.97
all_reduce,2,4096,0.0114,0.36,0.36
all_reduce,2,65536,0.0114,5.74,5.74
all_reduce,2,1048576,0.0643,16.31,16.31
all_reduce,2,16777216,0.8351,20.09,20.09
all_reduce,2,268435456,12.773,21.02,21.02
all_reduce,2,1073741824,49.8144,21.55,21.55
